Week;Research_Date;Day;wake_up_date;wake_up;went_to_sleep_date;went_to_sleep;sleep_time;sleep_time_in_min;awake_time;awake_time_in_min;awake_sleep_in_min;awake_sleep_perc;REM_in_min;REM_perc;light_core_sleep_in_min;light_core_sleep_perc;deep_sleep_in_min;deep_sleep_perc;peak_brain_level;cat_lang;cat_prob_solv;cat_memory;cat_focus;cat_mental_agility;cat_emotion;cat_coord
1;0;Tuesday;;;01.03.23 01:10;1:10 AM;;;;;;;;;;;;;;;;;;;;
1;1;Wednesday;01.03.23 08:38;8:38 AM;02.03.23 03:41;3:41 AM;07:27:16;447;19:03:33;1143;9;2.10%;82;18.30%;286;63.90%;70;15.80%;226;178;241;219;261;220;333;150
1;2;Thursday;02.03.23 11:31;11:31 AM;03.03.23 01:12;1:12 AM;07:49:38;469;13:41:17;821;34;7.30%;84;17.80%;271;57.90%;80;17.00%;320;216;309;337;465;302;508;150
1;3;Friday;03.03.23 08:35;8:35 AM;04.03.23 01:13;1:13 AM;07:22:48;442;16:38:09;998;43;9.80%;64;14.40%;227;51.30%;108;24.50%;327;196;309;351;465;323;508;150
1;4;Saturday;04.03.23 08:18;8:18 AM;05.03.23 00:44;12:44 AM;07:04:54;424;16:25:37;985;43;10.10%;45;10.60%;247;58.20%;89;21.10%;333;204;298;350;473;319;518;177
1;5;Sunday;05.03.23 07:57;7:57 AM;06.03.23 01:04;1:04 AM;07:13:51;433;17:06:20;1026;35;8.00%;67;15.50%;241;55.60%;91;21.00%;366;268;327;355;413;392;498;209
2;6;Monday;06.03.23 07:55;7:55 AM;07.03.23 02:22;2:22 AM;06:51:29;411;18:27:12;1107;33;8.00%;67;16.30%;241;58.70%;70;17.00%;385;303;341;361;393;419;518;223
2;7;Tuesday;07.03.23 08:52;8:52 AM;08.03.23 00:54;12:54 AM;06:29:07;389;16:01:58;961;46;11.70%;47;12.00%;191;49.00%;106;27.20%;414;283;339;396;483;460;514;238
2;8;Wednesday;08.03.23 07:49;7:49 AM;09.03.23 02:18;2:18 AM;06:55:57;415;18:28:48;1108;26;6.30%;61;14.70%;270;64.90%;59;14.10%;424;263;329;397;520;482;503;240
2;9;Thursday;09.03.23 09:19;9:19 AM;10.03.23 03:12;3:12 AM;07:00:26;420;17:53:29;1073;33;8.00%;51;12.10%;241;57.30%;95;22.60%;463;243;370;419;583;533;540;278
2;10;Friday;10.03.23 09:46;9:46 AM;11.03.23 00:37;12:37 AM;06:33:36;393;14:51:07;891;9;2.30%;53;13.40%;234;59.60%;97;24.70%;463;279;350;418;563;513;548;316
2;11;Saturday;11.03.23 08:22;8:22 AM;12.03.23 00:03;12:03 AM;07:45:09;465;15:41:10;941;42;9.10%;50;10.80%;262;56.30%;111;23.80%;509;361;415;480;630;541;582;368
2;12;Sunday;12.03.23 08:11;8:11 AM;13.03.23 00:24;12:24 AM;08:07:31;487;16:12:50;972;37;7.50%;83;17.00%;254;52.20%;113;23.30%;534;344;433;482;610;591;664;348
3;13;Monday;13.03.23 08:24;8:24 AM;14.03.23 01:02;1:02 AM;08:00:49;480;16:38:04;998;40;8.30%;69;14.40%;308;64.20%;63;13.20%;548;324;418;466;590;606;666;438
3;14;Tuesday;14.03.23 09:06;9:06 AM;14.03.23 23:59;11:59 PM;08:03:03;483;14:53:25;893;74;15.30%;88;18.30%;238;49.20%;83;17.20%;559;304;463;473;602;624;672;465
3;15;Wednesday;15.03.23 07:53;7:53 AM;16.03.23 00:58;12:58 AM;07:54:06;474;17:05:18;1025;18;3.70%;70;14.80%;329;69.40%;57;12.10%;569;306;443;472;582;615;706;547
3;16;Thursday;16.03.23 09:04;9:04 AM;17.03.23 01:26;1:26 AM;08:05:17;485;16:22:37;982;104;21.50%;89;18.50%;174;35.80%;118;24.30%;582;315;468;477;570;629;723;580
3;17;Friday;17.03.23 09:43;9:43 AM;17.03.23 23:54;11:54 PM;08:16:28;496;14:11:45;851;74;14.80%;88;17.80%;262;52.70%;73;14.70%;610;382;448;528;641;645;758;560
3;18;Saturday;18.03.23 07:58;7:58 AM;19.03.23 00:47;12:47 AM;08:03:03;483;16:49:15;1009;30;6.20%;87;18.10%;303;62.70%;63;13.00%;612;322;450;495;621;643;786;625
3;19;Sunday;19.03.23 08:42;8:42 AM;19.03.23 23:37;11:37 PM;07:55:27;475;14:55:01;895;49;10.30%;94;19.80%;264;55.60%;68;14.30%;620;302;430;512;648;645;811;648
4;20;Monday;20.03.23 07:28;7:28 AM;21.03.23 00:19;12:19 AM;07:50:31;470;16:51:23;1011;77;16.30%;63;13.40%;281;59.70%;50;10.60%;624;384;428;533;628;647;791;628
4;21;Tuesday;21.03.23 06:35;6:35 AM;21.03.23 23:27;11:27 PM;06:15:42;375;16:52:38;1012;21;5.60%;60;16.00%;237;63.20%;57;15.30%;623;364;459;513;608;644;810;646
